ContactSeq,ContactID,Contact,FirstName,LastName,AccountSeq,Job Title,Street,City,State or Province,Postal Code,Country,Latitude,Longitude,Phone
1000,95b19680-1946-4655-b19d-fa68cc4a491d,Jacqueline Penella,Jacqueline,Penella,1047,Pharmacist,87841 Sloan Way,Tucson,AZ,85715,United States,32.2519,-110.82,520-970-5533
1001,48985a27-bc10-4308-8cc0-18da73854fc4,Clo Brixey,Clo,Brixey,1023,Senior Editor,8 Coleman Point,Sioux Falls,SD,57198,United States,43.6746,-96.7913,605-344-1216
1002,8363f7b4-976d-4104-9848-acf10dde13f8,Yuma Arnaudi,Yuma,Arnaudi,1056,Tax Accountant,95 Melvin Pass,Boise,ID,83711,United States,43.4599,-116.244,208-934-3938
1003,fe2e4c46-bae4-49aa-a3ad-6488f7162948,Garfield Priel,Garfield,Priel,1026,Web Designer I,11620 Menomonie Court,Dayton,OH,45408,United States,39.7395,-84.229,937-390-4115
1004,1917c86d-0ec4-4d2e-b89c-754f0f67a4e0,Goldy Yoselevitch,Goldy,Yoselevitch,1055,Assistant Media Planner,626 Hauk Road,Carol Stream,IL,60158,United States,41.9166,-88.1208,309-830-8827
1005,809813f9-12db-42c9-80bf-64655459147b,Sidney Dowbekin,Sidney,Dowbekin,1065,Environmental Specialist,3 Helena Center,Jackson,TN,38308,United States,35.6124,-88.8412,731-198-0089
1006,2d283a50-ceae-4bc2-99fc-ac48ca31e57c,Starlene Ealles,Starlene,Ealles,1019,Environmental Tech,73788 Farwell Point,Saint Louis,MO,63150,United States,38.6531,-90.2435,314-476-8028
1007,1637da94-8b61-49d9-9169-b21964c8db1d,Daniela Leman,Daniela,Leman,1043,Data Coordiator,09155 Golf Street,Harrisburg,PA,17140,United States,40.3086,-76.8464,717-940-8580
1008,44c5c452-a10f-466c-ba3e-3c33750bf5b2,Gwynne Sulley,Gwynne,Sulley,1125,Nurse Practicioner,6 Oak Valley Alley,New York City,NY,10275,United States,40.7808,-73.9772,212-301-9813
1009,f7f36caf-ed74-402f-80d6-e9c42cde62f0,Jamaal Zisneros,Jamaal,Zisneros,1085,Administrative Officer,29 Emmet Avenue,Baton Rouge,LA,70820,United States,30.3795,-91.1671,225-247-5919
